column,start,length
tipo_reg,1,2
blanco1,3,21
cod_del_MEH,24,2
cod_muni_DGC,26,3
clase_BI,29,2
parcela_cat,31,14
num_cargo,45,4
ctrl1,49,1
ctrl2,50,1
num_fijo_BI,51,8
BI_ayunt,59,15
num_finca_registral,74,19
cprov,93,2
provincia,95,25
cmun_DGC,120,3
cmun_ine,123,3
municipio,126,40
entidad_menor,166,30
cvia_DGC,196,5
tipo_via,201,5
nombre_via,206,25
num_pol1,231,4
bis,235,1
num_pol2,236,4
bis2,240,1
Km,241,5
bloque,246,4
escalera,250,2
planta,252,3
puerta,255,3
dir_resto,258,25
cod_postal,283,5
distrito,288,2
cmun_origen,290,3
cod_zona_concent,293,2
cod_poligono,295,3
cod_parcela,298,5
cod_paraje,303,5
nombre_paraje,308,30
blanco2,338,30
num_orden_escrit_hori,368,4
antiguedad_BI,372,4
blanco3,376,52
clave_grupo_BI,428,1
blanco4,429,13
m2_BI,442,10
m2_solares_sin_div_hor,452,10
coef_finca,462,9
blanco5,471,530
