"tipo_via","nombre_via_ivima","nombre_via_cat"
"AV","ABRANTES","ABRANTES"
"AV","ALBERTO ALCOCER","ALBERTO ALCOCER"
"AV","ALBUFERA","ALBUFERA"
"AV","AMERICA","AMERICA"
"AV","ANDALUCIA","ANDALUCIA"
"AV","APOSTOLES","APOSTOLES"
"AV","AURORA BOREAL","AURORA BOREAL"
"AV","AVIACION","AVIACION"
"AV","BADAJOZ","BADAJOZ"
"AV","BETANZOS","BETANZOS"
"AV","BONN","BONN"
"AV","BUENOS AIRES","BUENOS AIRES"
"AV","BURGOS","BURGOS"
"AV","CAMINO DE SANTIAGO","CAMINO DE SANTIAGO"
"AV","CAMPO DE CALATRAVA","CAMPO DE CALATRAVA"
"AV","CANILLEJAS A VICALVARO","CANILLEJAS A VICALVARO"
"AV","CANTABRIA","CANTABRIA"
"AV","CARABANCHEL ALTO","CARABANCHEL ALTO"
"AV","CARDENAL HERRERA ORIA","CARDENAL HERRERA ORIA"
"AV","CERRO DE LOS ANGELES","CERRO DE LOS ANGELES"
"AV","CERRO MILANO","CERRO MILANO"
"AV","CIUDAD DE BARCELONA","CIUDAD DE BARCELONA"
"AV","CORDOBA","CORDOBA"
"AV","DAROCA","DAROCA"
"AV","DOCTOR GARCIA TAPIA","DOCTOR GARCIA TAPIA"
"AV","DONOSTIARRA","DONOSTIARRA"
"AV","EL FERROL","EL FERROL"
"AV","EMPERATRIZ ISABEL","EMPERATRIZ ISABEL"
"AV","ENSANCHE DE VALLECAS","ENSANCHE DE VALLECAS"
"AV","ENTREVIAS","ENTREVIAS"
"AV","ESPINELA","ESPINELA"
"AV","FELICIDAD","FELICIDAD"
"AV","FRANCISCO PI Y MARGALL","FRANCISCO PI Y MARGALL"
"AV","GENERAL FANJUL","GENERAL FANJUL"
"AV","GENERAL PERON","GENERAL PERON"
"AV","GRAN VIA DEL SURESTE","GRAN VIA DEL SURESTE"
"AV","GUADALAJARA","GUADALAJARA"
"AV","JUAN ANDRES","JUAN ANDRES"
"AV","LA GAVIA","LA GAVIA"
"AV","LAS SUERTES","LAS SUERTES"
"AV","LOS ROSALES","LOS ROSALES"
"AV","MANZANARES","MANZANARES"
"AV","MARQUES DE CORBERA","MARQUES DE CORBERA"
"AV","MEDITERRANEO","MEDITERRANEO"
"AV","MENENDEZ PELAYO","MENENDEZ PELAYO"
"AV","MIGUEL HERNANDEZ","MIGUEL HERNANDEZ"
"AV","MONASTERIO DE EL ESCORIAL","MONASTERIO DE EL ESCORIAL"
"AV","MONASTERIO DE SILOS","MONASTERIO DE SILOS"
"AV","MONFORTE DE LEMOS","MONFORTE DE LEMOS"
"AV","MONTE IGUELDO","MONTE IGUELDO"
"AV","MORATALAZ","MORATALAZ"
"AV","NAZARET","NAZARET"
"AV","NIZA","NIZA"
"AV","NUESTRA SEÑORA DE FATIMA","NUESTRA SEÑORA DE FATIMA"
"AV","OPORTO","OPORTO"
"AV","OROVILLA","OROVILLA"
"AV","PABLO IGLESIAS","PABLO IGLESIAS"
"AV","PABLO NERUDA","PABLO NERUDA"
"AV","PADRE PIQUER","PADRE PIQUER"
"AV","PALOMERAS","PALOMERAS"
"AV","PARQUE PALOMERAS BAJAS","PARQUE PALOMERAS BAJAS"
"AV","PEDRO DIEZ","PEDRO DIEZ"
"AV","PESETA","PESETA"
"AV","PEÑA PRIETA","PEÑA PRIETA"
"AV","PIO XII","PIO XII"
"AV","PORTUGAL","PORTUGAL"
"AV","RAFAEL ALBERTI","RAFAEL ALBERTI"
"AV","RAMON Y CAJAL","RAMON Y CAJAL"
"AV","REAL DE PINTO","REAL DE PINTO"
"AV","REINA VICTORIA","REINA VICTORIA"
"AV","SAN DIEGO","SAN DIEGO"
"AV","SAN FERMIN","SAN FERMIN"
"AV","SAN LUIS","SAN LUIS"
"AV","SECUNDINO ZUAZO","SECUNDINO ZUAZO"
"AV","SEPTIMA","SEPTIMA"
"AV","VALLADOLID","VALLADOLID"
"AV","VEINTICINCO DE SEPTIEMBRE","VEINTICINCO DE SEPTIEMBRE"
"AV","VERBENA DE LA PALOMA","VERBENA DE LA PALOMA"
"AV","VIRGEN DEL CARMEN","VIRGEN DEL CARMEN"
"CJ","MELLIZO","MELLIZO"
"CJ","SAN RAFAEL","SAN RAFAEL"
"CL","ABAD JUAN CATALAN","ABAD JUAN CATALAN"
"CL","ABADA","ABADA"
"CL","ABADES","ABADES"
"CL","ABEJUELA","ABEJUELA"
"CL","ABEL","ABEL"
"CL","ABELLA","ABELLA"
"CL","ABOLENGO","ABOLENGO"
"CL","ABTAO","ABTAO"
"CL","ACANTITA","ACANTITA"
"CL","ACENTEJO","ACENTEJO"
"CL","ACEUCHAL","ACEUCHAL"
"CL","ACUERDO","ACUERDO"
"CL","ADANERO","ADANERO"
"CL","ADEMUZ","ADEMUZ"
"CL","ADOLFO BIOY CASARES","ADOLFO BIOY CASARES"
"CL","ADORA","ADORA"
"CL","ADRADA DE HAZA","ADRADA DE HAZA"
"CL","AFECTO","AFECTO"
"CL","AFUERAS A VALVERDE","AFUERAS A VALVERDE"
"CL","AGAVE","AGAVE"
"CL","AGUILAFUENTE","AGUILAFUENTE"
"CL","AGUILAR DE CAMPOO","AGUILAR DE CAMPOO"
"CL","AGUILON","AGUILON"
"CL","AGUJA","AGUJA"
"CL","AGUSTIN CALVO","AGUSTIN CALVO"
"CL","AGUSTIN DE FOXA","AGUSTIN DE FOXA"
"CL","AGUSTIN DE ROJAS","AGUSTIN DE ROJAS"
"CL","AGUSTIN DURAN","AGUSTIN DURAN"
"CL","AGUSTIN LARA","AGUSTIN LARA"
"CL","AILANTO","AILANTO"
"CL","AJOFRIN","AJOFRIN"
"CL","ALAMEDA DEL VALLE","ALAMEDA DEL VALLE"
"CL","ALAMILLO","ALAMILLO"
"CL","ALAR DEL REY","ALAR DEL REY"
"CL","ALARO","ALARO"
"CL","ALAVA","ALAVA"
"CL","ALBA DE TORMES","ALBA DE TORMES"
"CL","ALBADALEJO","ALBADALEJO"
"CL","ALBARES DE LA RIBERA","ALBARES DE LA RIBERA"
"CL","ALBARRACIN","ALBARRACIN"
"CL","ALBATROS","ALBATROS"
"CL","ALBAÑILERIA","ALBAÑILERIA"
"CL","ALBENDIEGO","ALBENDIEGO"
"CL","ALBERDI","ALBERDI"
"CL","ALBERTO PALACIOS","ALBERTO PALACIOS"
"CL","ALBINO HERNANDEZ LAZARO","ALBINO HERNANDEZ LAZARO"
"CL","ALCALA","ALCALA"
"CL","ALCALA DE GUADAIRA","ALCALA DE GUADAIRA"
"CL","ALCALDE HENCHE DE PLATA","ALCALDE HENCHE DE PLATA"
"CL","ALCALDE LOPEZ CASERO","ALCALDE LOPEZ CASERO"
"CL","ALCALDE SAINZ DE BARANDA","ALCALDE SAINZ DE BARANDA"
"CL","ALCANTARA","ALCANTARA"
"CL","ALCATRAZ","ALCATRAZ"
"CL","ALCAUDON","ALCAUDON"
"CL","ALCAZAR DE SAN JUAN","ALCAZAR DE SAN JUAN"
"CL","ALCAÑIZ","ALCAÑIZ"
"CL","ALCOCER","ALCOCER"
"CL","ALCONERA","ALCONERA"
"CL","ALCORISA","ALCORISA"
"CL","ALDAPA","ALDAPA"
"CL","ALDEA DEL FRESNO","ALDEA DEL FRESNO"
"CL","ALEGRIA","ALEGRIA"
"CL","ALEGRIA DE LA HUERTA","ALEGRIA DE LA HUERTA"
"CL","ALEGRIA DE ORIA","ALEGRIA DE ORIA"
