shapeid,"x","y",Path
0,"439930.82591","4475096.62273",1
0,"439943.11062","4475086.30716",2
0,"439956.39034","4475075.0604",3
0,"439963.827507","4475068.73108",4
0,"439971.166673","4475062.48506",5
0,"439977.805032","4475056.83544",6
0,"439988.69393","4475047.56835",7
0,"439997.314408","4475040.23175",8
0,"440002.04135","4475036.2089",9
0,"440005.149978","4475033.56333",10
0,"440010.364025","4475029.12599",11
0,"440018.658799","4475022.06658",12
0,"440022.316332","4475018.95392",13
0,"440025.899664","4475015.90426",14
0,"440032.777726","4475010.05063",15
0,"440034.164838","4475008.86265",16
0,"440043.042218","4475001.25874",17
0,"440052.762504","4474993.09105",18
0,"440065.134415","4474982.62158",19
0,"440073.861392","4474975.27237",20
0,"440074.794101","4474974.48698",21
0,"440088.431922","4474963.00243",22
0,"440096.762596","4474955.98702",23
0,"440101.739741","4474951.79567",24
0,"440116.409371","4474939.44213",25
0,"440119.337797","4474936.97426",26
0,"440130.144693","4474927.86687",27
0,"440143.517311","4474916.66532",28
0,"440147.627548","4474913.19806",29
0,"440154.327107","4474907.54643",30
0,"440159.024449","4474903.58378",31
0,"440169.541542","4474894.71199",32
0,"440177.773415","4474887.76798",33
0,"440181.395647","4474884.71232",34
0,"440210.158001","4474860.57122",35
0,"440220.66528","4474856.46413",36
0,"440196.978166","4474843.70904",37
0,"440189.226024","4474841.20077",38
0,"440170.650002","4474842.2158",39
0,"440155.324502","4474843.05326",40
0,"440141.781014","4474843.79344",41
0,"440137.849088","4474844.0082",42
0,"440120.529475","4474844.95464",43
0,"440115.353841","4474845.2375",44
0,"440112.396322","4474845.39907",45
0,"440100.297443","4474846.06026",46
0,"440076.346186","4474847.36914",47
0,"440063.553203","4474848.06812",48
0,"440053.471237","4474848.61913",49
0,"440049.943114","4474848.7644",50
0,"440035.979423","4474849.33977",51
0,"440052.130622","4474816.79198",52
0,"440058.323599","4474804.31206",53
0,"440054.524478","4474803.18483",54
0,"440050.827158","4474802.0878",55
0,"440047.807277","4474789.17959",56
0,"440046.369287","4474782.71949",57
0,"440045.240595","4474777.64909",58
0,"440042.005617","4474763.11579",59
0,"440040.395728","4474755.88349",60
0,"440039.425735","4474751.52569",61
0,"440037.687747","4474743.71819",62
0,"440036.594955","4474738.80869",63
0,"440036.431156","4474738.07289",64
0,"440032.54239","4474718.35369",65
0,"440032.072694","4474715.93719",66
0,"440030.376909","4474707.2122",67
0,"440030.115715","4474704.7465",68
0,"440026.87282","4474696.07229",69
0,"440026.003021","4474693.85668",70
0,"440024.548723","4474690.15218",71
0,"440020.900528","4474680.85916",72
0,"440018.075231","4474673.66245",73
0,"440014.931735","4474665.65494",74
0,"440010.94374","4474655.49632",75
0,"440009.651042","4474652.20352",76
0,"440006.354446","4474643.80621",77
0,"440004.932446","4474640.687",78
0,"440001.458149","4474632.28888",79
0,"440000.597449","4474630.44878",80
0,"439998.72895","4474626.45417",81
0,"439988.79045","4474605.20642",82
0,"439988.25535","4474604.06242",83
0,"439981.574351","4474589.77889",84
0,"439979.88757","4474579.6722",85
0,"439984.321","4474579.09004",86
0,"439990.401841","4474578.29149",87
0,"440000.017205","4474577.02888",88
0,"439994.383889","4474570.37374",89
0,"439991.787228","4474551.96396",90
0,"439990.441848","4474542.42566",91
0,"439989.028669","4474532.40687",92
0,"439988.463577","4474528.40097",93
0,"439987.207996","4474519.49968",94
0,"439986.114012","4474511.74429",95
0,"439985.742818","4474509.11229",96
0,"439985.086827","4474504.46159",97
0,"439984.142535","4474499.92339",98
0,"439983.278542","4474495.77089",99
0,"439983.053144","4474494.68769",100
0,"439983.531176","4474484.78122",101
0,"439983.655385","4474482.20542",102
0,"439984.093715","4474473.12224",103
0,"439984.153319","4474471.88775",104
0,"439984.257722","4474470.95845",105
0,"439984.561332","4474468.25726",106
0,"439986.48346","4474462.97508",107
0,"439986.750271","4474459.87409",108
0,"439987.574804","4474450.28782",109
0,"439987.980621","4474445.56873",110
0,"439988.548144","4474438.96995",111
0,"439989.361777","4474429.51058",112
0,"439989.876298","4474423.52939",113
0,"439988.564401","4474419.75409",114
0,"439977.478741","4474416.8433",115
0,"439982.280979","4474414.15384",116
0,"439982.913701","4474408.25206",117
0,"439983.538422","4474402.42568",118
0,"439983.863833","4474399.38999",119
0,"439985.422586","4474384.85143",120
